type,temp,hum,depth_prev,depth,label
FLOOD,19.87,80.07,7.34,12.3,Severe
FLOOD,26.5,79.7,4.31,5.72,Moderate
FLOOD,23.29,94.32,3.21,11.75,Severe
FLOOD,19.01,90.89,3.7,12.9,Severe
FLOOD,26.7,92.82,34.52,42.9,Extreme
FLOOD,26.54,73.75,2.12,6.44,Moderate
FLOOD,29.48,74.58,4.51,7.56,Moderate
FLOOD,23.04,95.19,20.09,46.36,Extreme
FLOOD,28.09,92.28,31.94,45.0,Extreme
FLOOD,21.95,80.59,8.53,10.83,Severe
FLOOD,27.12,79.19,1.09,4.09,Moderate
FLOOD,27.53,94.14,6.67,13.82,Severe
FLOOD,32.39,69.14,2.38,2.64,Normal
FLOOD,21.17,80.14,3.89,11.25,Severe
FLOOD,28.39,71.91,3.75,4.41,Moderate
FLOOD,21.61,93.72,7.22,26.36,Extreme
FLOOD,27.37,72.75,4.8,7.92,Moderate
FLOOD,20.5,93.68,11.65,13.93,Severe
FLOOD,21.73,89.26,4.53,8.57,Severe
FLOOD,31.23,62.37,0.88,0.8,Normal
FLOOD,23.99,86.37,5.2,17.84,Extreme
FLOOD,24.03,77.85,4.06,7.13,Moderate
FLOOD,27.93,71.85,2.42,4.89,Moderate
FLOOD,26.71,91.89,8.69,12.57,Severe
FLOOD,21.79,95.24,16.73,25.51,Extreme
FLOOD,22.45,99.38,12.3,16.46,Extreme
FLOOD,28.12,51.55,1.22,1.64,Normal
FLOOD,25.62,83.75,4.25,13.01,Severe
FLOOD,28.35,66.66,0.11,0.01,Normal
FLOOD,26.12,82.72,3.15,14.16,Severe
FLOOD,23.62,76.53,1.69,5.23,Moderate
FLOOD,29.5,71.88,0.21,3.91,Moderate
FLOOD,25.41,44.14,2.39,2.6,Normal
FLOOD,27.01,64.68,2.33,2.76,Normal
FLOOD,25.2,94.94,3.58,14.01,Severe
FLOOD,18.34,78.74,2.51,3.22,Moderate
FLOOD,27.92,99.86,14.12,28.83,Extreme
FLOOD,27.07,76.9,3.94,6.48,Moderate
FLOOD,24.08,86.62,6.23,12.79,Severe
FLOOD,23.53,80.46,5.03,10.67,Severe
FLOOD,27.31,91.8,9.83,18.09,Extreme
FLOOD,18.27,84.85,3.78,9.12,Severe
FLOOD,22.7,76.87,1.64,5.57,Moderate
FLOOD,27.18,47.14,0.66,0.67,Normal
FLOOD,32.88,49.82,0.55,0.91,Normal
FLOOD,24.67,82.01,4.43,10.37,Severe
FLOOD,26.67,75.14,0.46,6.49,Moderate
FLOOD,29.51,68.37,2.0,2.19,Normal
FLOOD,24.45,98.66,32.96,49.65,Extreme
FLOOD,19.5,90.44,3.45,13.65,Severe
FLOOD,28.59,98.06,35.79,47.65,Extreme
FLOOD,29.97,87.71,22.63,31.11,Extreme
FLOOD,19.43,89.64,9.36,14.34,Severe
FLOOD,29.28,87.12,15.05,36.18,Extreme
FLOOD,25.72,85.99,4.44,9.16,Severe
FLOOD,28.98,71.04,1.27,4.09,Moderate
FLOOD,27.31,48.48,0.39,0.4,Normal
FLOOD,28.64,72.43,1.91,7.46,Moderate
FLOOD,23.17,88.84,6.14,8.62,Severe
FLOOD,18.16,94.42,4.54,11.31,Severe
FLOOD,19.09,89.49,7.24,8.62,Severe
FLOOD,21.47,92.71,4.07,11.47,Severe
FLOOD,25.9,72.34,0.65,4.92,Moderate
FLOOD,25.02,49.32,0.71,1.04,Normal
FLOOD,24.73,83.24,5.04,11.93,Severe
FLOOD,28.27,58.66,0.45,0.71,Normal
FLOOD,26.63,94.17,5.65,13.98,Severe
FLOOD,24.64,87.48,25.49,33.28,Extreme
FLOOD,31.79,45.1,1.6,1.52,Normal
FLOOD,30.6,53.69,2.58,2.93,Normal
FLOOD,20.37,83.23,5.95,9.08,Severe
FLOOD,24.31,89.01,6.0,24.29,Extreme
FLOOD,26.46,87.59,15.03,25.94,Extreme
FLOOD,29.0,75.51,4.36,5.55,Moderate
FLOOD,24.61,93.66,15.75,46.47,Extreme
FLOOD,32.71,69.84,2.52,2.55,Normal
FLOOD,27.42,83.51,6.71,12.76,Severe
FLOOD,28.34,74.74,2.37,3.16,Moderate
FLOOD,18.76,87.21,6.48,8.35,Severe
FLOOD,20.21,88.24,5.6,24.2,Extreme
FLOOD,25.68,65.64,2.58,2.61,Normal
FLOOD,28.74,68.66,0.22,0.19,Normal
FLOOD,32.8,55.45,1.51,1.84,Normal
FLOOD,25.83,82.63,7.89,9.97,Severe
FLOOD,22.02,95.08,10.61,21.6,Extreme
FLOOD,20.56,80.6,4.57,8.47,Severe
FLOOD,29.89,93.27,8.5,21.48,Extreme
FLOOD,25.03,50.71,0.42,0.61,Normal
FLOOD,24.7,76.4,4.88,6.18,Moderate
FLOOD,26.59,62.31,2.37,2.61,Normal
FLOOD,29.08,96.04,30.05,32.44,Extreme
FLOOD,27.65,53.12,0.42,0.83,Normal
FLOOD,28.78,89.76,16.35,23.34,Extreme
FLOOD,30.84,48.66,0.93,1.19,Normal
FLOOD,26.28,82.25,7.69,12.29,Severe
FLOOD,22.31,88.3,15.16,32.36,Extreme
FLOOD,22.5,90.51,13.37,28.52,Extreme
FLOOD,26.75,81.35,6.3,10.42,Severe
FLOOD,31.89,54.24,0.08,0.01,Normal
FLOOD,24.62,74.26,0.16,7.2,Moderate
FLOOD,27.82,49.18,2.62,2.77,Normal
FLOOD,26.31,87.38,14.64,31.09,Extreme
FLOOD,26.65,44.23,2.86,2.89,Normal
FLOOD,23.47,90.54,4.98,10.4,Severe
FLOOD,22.0,71.11,0.15,7.24,Moderate
FLOOD,28.08,41.6,2.65,2.8,Normal
FLOOD,26.69,97.04,6.34,19.39,Extreme
FLOOD,16.1,79.15,2.97,6.75,Moderate
FLOOD,23.09,73.84,1.33,3.07,Moderate
FLOOD,27.27,94.05,42.3,44.92,Extreme
FLOOD,25.64,91.39,5.06,10.02,Severe
FLOOD,23.47,89.23,4.43,12.6,Severe
FLOOD,23.62,98.46,14.89,35.32,Extreme
FLOOD,25.46,73.47,4.38,5.99,Moderate
FLOOD,26.18,83.14,9.4,10.75,Severe
FLOOD,32.41,63.81,1.44,1.67,Normal
FLOOD,29.5,52.01,1.12,1.02,Normal
FLOOD,29.57,77.08,1.64,3.38,Moderate
FLOOD,27.3,92.31,14.46,43.28,Extreme
FLOOD,23.89,97.62,13.82,42.99,Extreme
FLOOD,28.95,85.96,29.05,32.24,Extreme
FLOOD,29.15,72.65,0.06,6.58,Moderate
FLOOD,22.88,83.96,4.76,13.59,Severe
FLOOD,30.75,49.13,1.11,1.32,Normal
FLOOD,18.88,91.6,8.39,13.72,Severe
FLOOD,18.2,80.5,5.25,8.01,Severe
FLOOD,22.82,93.65,16.55,28.62,Extreme
FLOOD,24.55,88.93,8.02,10.83,Severe
FLOOD,18.74,80.96,10.69,13.88,Severe
FLOOD,25.51,66.14,1.46,1.57,Normal
FLOOD,18.59,91.61,3.86,11.18,Severe
FLOOD,28.97,89.52,39.35,44.96,Extreme
FLOOD,30.02,56.73,0.58,0.61,Normal
FLOOD,29.33,71.36,2.46,4.03,Moderate
FLOOD,19.36,93.21,6.76,8.12,Severe
FLOOD,20.98,94.47,16.82,25.7,Extreme
FLOOD,25.92,88.83,22.88,36.36,Extreme
FLOOD,31.5,69.91,0.76,0.77,Normal
FLOOD,26.66,96.36,19.86,45.1,Extreme
FLOOD,24.17,92.27,8.63,25.13,Extreme
FLOOD,25.13,98.19,8.29,24.83,Extreme
FLOOD,27.38,66.18,0.88,0.82,Normal
FLOOD,28.31,92.83,7.75,39.08,Extreme
FLOOD,27.17,82.0,6.29,11.61,Severe
FLOOD,25.56,79.09,2.3,5.68,Moderate
FLOOD,27.37,70.69,0.95,3.79,Moderate
FLOOD,18.0,71.7,1.17,5.2,Moderate
FLOOD,27.48,57.83,1.13,1.07,Normal
FLOOD,24.11,90.86,6.73,13.81,Severe
FLOOD,32.23,61.97,0.87,1.34,Normal
FLOOD,28.04,49.5,1.53,1.84,Normal
FLOOD,26.47,44.69,2.28,2.34,Normal
FLOOD,20.99,70.93,5.08,7.15,Moderate
FLOOD,27.17,91.31,9.3,12.35,Severe
FLOOD,26.01,90.05,6.38,11.57,Severe
FLOOD,24.65,89.79,10.28,33.31,Extreme
FLOOD,21.62,88.9,12.74,34.09,Extreme
FLOOD,26.23,70.68,1.14,4.35,Moderate
FLOOD,26.04,64.55,1.25,1.73,Normal
FLOOD,21.92,70.93,0.4,3.35,Moderate
FLOOD,20.26,97.2,21.96,29.03,Extreme
FLOOD,18.07,88.51,6.34,11.7,Severe
FLOOD,16.59,70.17,2.2,4.0,Moderate
FLOOD,28.0,92.76,20.27,23.12,Extreme
FLOOD,24.0,87.54,7.55,13.09,Severe
FLOOD,18.46,72.88,4.07,7.48,Moderate
FLOOD,16.35,79.54,1.28,5.35,Moderate
FLOOD,26.56,90.01,4.63,11.56,Severe
FLOOD,28.58,85.91,8.24,25.35,Extreme
FLOOD,29.6,93.82,6.14,21.54,Extreme
FLOOD,25.71,80.08,5.81,14.86,Severe
FLOOD,24.3,78.55,0.85,4.99,Moderate
FLOOD,28.83,73.21,5.73,7.33,Moderate
FLOOD,20.3,83.65,3.85,12.45,Severe
FLOOD,32.36,66.51,1.01,1.33,Normal
FLOOD,28.56,61.33,2.21,2.45,Normal
FLOOD,22.17,79.63,4.33,6.21,Moderate
FLOOD,16.9,73.48,2.03,4.52,Moderate
FLOOD,19.6,94.72,7.63,9.99,Severe
FLOOD,29.24,97.42,34.95,38.27,Extreme
FLOOD,22.82,90.2,8.43,10.12,Severe
FLOOD,24.87,79.7,4.17,5.3,Moderate
FLOOD,26.5,82.29,10.98,13.76,Severe
FLOOD,20.53,89.46,4.68,8.83,Severe
FLOOD,28.81,96.85,33.78,38.0,Extreme
FLOOD,19.97,79.92,7.27,7.99,Moderate
FLOOD,22.4,99.83,16.2,20.5,Extreme
FLOOD,18.59,93.34,5.1,13.64,Severe
FLOOD,26.5,90.12,5.45,34.09,Extreme
FLOOD,21.66,95.33,40.82,43.28,Extreme
FLOOD,20.3,85.07,16.2,29.99,Extreme
FLOOD,25.79,93.01,6.21,8.03,Severe
FLOOD,21.88,87.74,7.58,13.09,Severe
FLOOD,31.66,68.33,0.01,0.07,Normal
FLOOD,25.43,88.25,17.16,23.19,Extreme
FLOOD,28.73,87.69,10.2,40.84,Extreme
FLOOD,22.04,84.29,7.8,14.86,Severe
FLOOD,20.35,85.4,26.09,29.98,Extreme
FLOOD,16.79,76.66,3.77,5.82,Moderate
FLOOD,23.61,94.24,13.4,44.17,Extreme
FLOOD,28.95,76.3,2.42,3.67,Moderate
FLOOD,28.43,75.63,0.6,5.27,Moderate
FLOOD,25.1,92.29,30.83,49.86,Extreme
FLOOD,30.59,63.86,0.57,0.69,Normal
FLOOD,22.57,93.23,34.77,45.3,Extreme
FLOOD,25.7,43.91,2.08,2.4,Normal
FLOOD,29.06,75.44,2.28,4.83,Moderate
FLOOD,19.38,91.98,4.55,14.33,Severe
FLOOD,22.51,85.03,3.96,10.17,Severe
FLOOD,19.33,80.79,7.59,12.86,Severe
FLOOD,28.81,41.89,1.1,1.09,Normal
FLOOD,25.15,92.54,9.85,35.37,Extreme
FLOOD,28.55,74.73,0.07,3.75,Moderate
FLOOD,17.66,74.67,2.65,3.78,Moderate
FLOOD,28.17,76.93,1.69,4.34,Moderate
FLOOD,29.3,94.17,19.84,22.75,Extreme
FLOOD,24.37,88.31,25.86,42.45,Extreme
FLOOD,31.11,66.53,1.02,1.43,Normal
FLOOD,20.03,85.44,7.25,8.93,Severe
FLOOD,25.58,61.06,2.09,2.42,Normal
FLOOD,20.13,88.12,6.89,9.79,Severe
FLOOD,16.69,74.54,1.56,4.22,Moderate
FLOOD,24.71,86.11,26.07,39.12,Extreme
FLOOD,27.33,89.39,4.57,10.35,Severe
FLOOD,22.13,86.64,7.73,13.82,Severe
FLOOD,18.44,90.78,4.35,14.05,Severe
FLOOD,21.48,81.87,5.24,9.58,Severe
FLOOD,25.01,96.4,35.15,38.63,Extreme
FLOOD,25.56,84.64,3.81,11.53,Severe
FLOOD,26.01,71.21,2.69,5.9,Moderate
FLOOD,32.37,60.57,2.21,2.52,Normal
FLOOD,21.17,72.25,2.27,3.97,Moderate
FLOOD,26.25,61.89,1.7,1.69,Normal
FLOOD,22.67,84.91,10.22,14.07,Severe
FLOOD,23.78,87.68,5.63,14.35,Severe
FLOOD,23.23,82.7,8.9,14.91,Severe
FLOOD,21.65,90.54,18.82,24.49,Extreme
FLOOD,29.75,70.42,4.66,5.74,Moderate
FLOOD,24.51,78.08,3.52,7.0,Moderate
FLOOD,32.69,48.59,1.55,1.86,Normal
FLOOD,29.21,89.97,14.73,22.66,Extreme
FLOOD,27.74,88.04,20.79,32.8,Extreme
FLOOD,27.99,86.49,14.06,32.37,Extreme
FLOOD,26.13,61.59,0.93,1.41,Normal
FLOOD,29.82,67.36,1.33,1.28,Normal
FLOOD,27.33,91.06,9.69,43.57,Extreme
FLOOD,20.05,76.89,1.01,6.3,Moderate
FLOOD,15.41,70.6,2.87,5.25,Moderate
FLOOD,19.99,72.99,2.69,6.04,Moderate
FLOOD,19.13,87.43,9.76,12.07,Severe
FLOOD,28.4,86.7,33.09,37.66,Extreme
FLOOD,19.43,84.86,9.38,14.17,Severe
FLOOD,27.79,71.07,4.3,5.15,Moderate
FLOOD,28.83,71.87,2.4,6.78,Moderate
FLOOD,19.26,90.31,10.97,14.95,Severe
FLOOD,25.62,81.78,6.47,14.5,Severe
FLOOD,32.16,40.47,1.13,1.36,Normal
FLOOD,16.62,70.6,1.2,6.58,Moderate
FLOOD,25.06,87.27,26.26,35.19,Extreme
FLOOD,22.99,94.81,5.64,10.41,Severe
FLOOD,25.51,79.92,2.93,7.81,Moderate
FLOOD,29.63,89.01,7.72,25.45,Extreme
FLOOD,24.41,79.86,1.95,3.24,Moderate
FLOOD,18.68,77.51,0.64,6.33,Moderate
FLOOD,30.18,49.35,1.1,1.26,Normal
FLOOD,26.84,93.68,5.68,41.33,Extreme
FLOOD,26.55,97.24,8.75,27.14,Extreme
FLOOD,25.13,88.26,12.07,47.52,Extreme
FLOOD,31.27,49.35,1.1,1.06,Normal
FLOOD,28.15,45.83,1.57,1.8,Normal
FLOOD,25.8,73.14,0.07,5.76,Moderate
FLOOD,25.67,71.93,4.09,5.23,Moderate
FLOOD,27.54,69.79,0.88,1.08,Normal
FLOOD,24.19,87.25,17.2,42.12,Extreme
FLOOD,21.17,70.44,2.9,4.38,Moderate
FLOOD,32.3,59.26,0.19,0.42,Normal
FLOOD,19.09,87.81,11.2,13.18,Severe
FLOOD,24.48,85.79,15.96,25.19,Extreme
FLOOD,25.97,48.08,2.69,2.88,Normal
FLOOD,29.62,51.58,2.31,2.38,Normal
FLOOD,25.56,88.37,17.52,30.96,Extreme
FLOOD,16.21,78.7,0.9,7.39,Moderate
FLOOD,31.43,56.37,1.11,1.56,Normal
FLOOD,22.02,97.0,11.49,23.9,Extreme
FLOOD,25.93,52.26,1.15,1.65,Normal
FLOOD,18.7,85.88,5.45,9.28,Severe
FLOOD,27.84,49.8,1.97,2.02,Normal
FLOOD,30.75,54.35,1.94,2.3,Normal
FLOOD,17.42,77.91,1.98,5.32,Moderate
FLOOD,24.04,77.49,2.38,7.91,Moderate
FLOOD,15.0,79.51,4.51,7.06,Moderate
FLOOD,26.67,50.34,0.11,0.31,Normal
FLOOD,25.33,47.51,0.65,0.8,Normal
FLOOD,19.92,92.12,4.33,8.55,Severe
FLOOD,23.84,89.92,6.66,10.68,Severe
FLOOD,22.15,88.0,5.57,21.87,Extreme
FLOOD,25.95,81.49,6.56,9.01,Severe
FLOOD,26.8,67.49,2.09,2.04,Normal
FLOOD,24.02,77.77,5.97,7.81,Moderate
FLOOD,16.68,72.91,4.72,5.39,Moderate
FLOOD,21.6,87.01,11.36,49.8,Extreme
FLOOD,15.86,75.75,3.8,6.49,Moderate
FLOOD,30.37,40.04,0.3,0.35,Normal
FLOOD,30.44,40.08,0.47,0.41,Normal
FLOOD,22.15,92.92,9.45,10.49,Severe
FLOOD,28.95,40.16,1.12,1.42,Normal
FLOOD,24.64,91.54,6.09,14.42,Severe
FLOOD,24.76,99.99,31.79,36.09,Extreme
FLOOD,22.81,79.15,1.84,3.19,Moderate
FLOOD,23.82,73.54,2.85,3.35,Moderate
FLOOD,27.43,95.79,14.97,32.12,Extreme
FLOOD,26.19,51.35,0.8,1.19,Normal
FLOOD,20.75,81.32,12.45,14.7,Severe
FLOOD,19.21,73.71,0.81,3.63,Moderate
FLOOD,20.46,87.14,17.75,36.68,Extreme
FLOOD,21.26,92.9,6.26,9.96,Severe
FLOOD,25.22,89.65,12.95,19.22,Extreme
FLOOD,19.95,82.49,6.4,8.98,Severe
FLOOD,29.09,54.58,0.4,0.52,Normal
FLOOD,27.68,92.08,5.25,9.66,Severe
FLOOD,20.03,95.92,5.65,22.38,Extreme
FLOOD,23.14,93.3,30.13,47.78,Extreme
FLOOD,22.53,85.01,4.26,10.73,Severe
FLOOD,28.83,93.77,14.77,20.13,Extreme
FLOOD,23.07,88.55,5.51,21.37,Extreme
FLOOD,26.86,88.63,3.23,14.82,Severe
FLOOD,25.75,59.78,1.31,1.22,Normal
FLOOD,23.9,98.13,10.83,17.61,Extreme
FLOOD,25.75,76.62,2.23,3.03,Moderate
FLOOD,23.01,93.95,7.01,46.31,Extreme
FLOOD,22.89,80.97,9.17,13.66,Severe
FLOOD,27.69,98.7,34.2,37.06,Extreme
FLOOD,28.8,42.07,2.72,3.0,Normal
FLOOD,27.13,85.44,13.38,16.28,Extreme
FLOOD,24.2,93.93,15.77,35.42,Extreme
FLOOD,20.28,88.4,12.6,41.23,Extreme
FLOOD,25.2,79.48,2.32,3.15,Moderate
FLOOD,28.5,72.02,1.75,4.75,Moderate
FLOOD,23.17,87.37,10.86,12.72,Severe
FLOOD,25.66,71.39,0.01,7.12,Moderate
FLOOD,26.77,81.81,8.22,9.45,Severe
FLOOD,16.67,78.21,0.18,3.13,Moderate
FLOOD,24.14,71.09,0.73,6.4,Moderate
FLOOD,28.72,44.8,0.67,0.99,Normal
FLOOD,29.33,86.6,10.46,16.19,Extreme
FLOOD,29.84,93.54,9.0,44.15,Extreme
FLOOD,16.24,79.62,3.03,3.89,Moderate
FLOOD,26.75,78.08,1.93,3.88,Moderate
FLOOD,28.58,91.7,5.68,16.53,Extreme
FLOOD,21.82,98.78,18.87,36.11,Extreme
FLOOD,30.13,50.06,2.41,2.57,Normal
FLOOD,25.46,51.66,2.37,2.65,Normal
FLOOD,22.61,86.55,18.39,29.62,Extreme
FLOOD,23.67,95.53,14.64,32.65,Extreme
FLOOD,32.09,53.25,2.54,2.89,Normal
FLOOD,28.82,98.63,36.91,45.27,Extreme
FLOOD,27.31,91.86,7.3,11.11,Severe
FLOOD,22.83,82.77,8.71,14.19,Severe
FLOOD,24.91,82.62,5.29,12.32,Severe
FLOOD,23.29,89.75,22.75,47.54,Extreme
FLOOD,21.43,77.03,1.32,3.13,Moderate
FLOOD,26.89,53.18,2.57,2.84,Normal
FLOOD,16.79,73.23,5.45,7.04,Moderate
FLOOD,27.34,97.41,10.36,24.21,Extreme
FLOOD,18.87,87.49,3.98,14.91,Severe
FLOOD,20.78,75.19,0.64,7.24,Moderate
FLOOD,26.61,45.57,0.05,0.36,Normal
FLOOD,29.98,62.2,0.81,0.75,Normal
FLOOD,27.7,73.04,3.35,7.81,Moderate
FLOOD,26.92,82.54,7.09,11.74,Severe
FLOOD,19.51,78.94,2.35,3.05,Moderate
FLOOD,17.78,75.67,1.69,6.69,Moderate
FLOOD,22.9,91.77,20.75,39.44,Extreme
FLOOD,28.35,55.18,2.75,2.8,Normal
FLOOD,26.7,72.56,3.76,7.86,Moderate
FLOOD,19.12,79.35,2.19,5.54,Moderate
FLOOD,24.99,74.52,4.83,6.97,Moderate
FLOOD,24.61,88.96,17.96,48.58,Extreme
FLOOD,25.9,91.38,22.07,38.23,Extreme
FLOOD,22.89,89.01,3.15,8.24,Severe
FLOOD,24.53,75.34,0.3,3.41,Moderate
FLOOD,29.62,79.39,2.34,5.11,Moderate
FLOOD,26.51,81.69,10.43,13.15,Severe
FLOOD,24.58,80.65,7.93,11.57,Severe
FLOOD,20.79,86.49,10.79,21.54,Extreme
FLOOD,23.13,74.48,0.99,3.46,Moderate
FLOOD,23.69,95.94,26.17,42.68,Extreme
FLOOD,21.2,71.11,2.01,4.72,Moderate
FLOOD,21.12,87.11,7.16,28.14,Extreme
FLOOD,22.0,71.17,0.42,4.2,Moderate
FLOOD,25.08,62.53,1.1,1.39,Normal
FLOOD,27.36,69.43,2.91,2.97,Normal
FLOOD,28.3,76.45,2.58,4.7,Moderate
FLOOD,25.66,94.83,11.77,14.05,Severe
FLOOD,19.47,94.37,7.77,12.64,Severe
FLOOD,25.18,74.95,2.51,3.66,Moderate
FLOOD,22.54,76.25,5.08,6.6,Moderate
FLOOD,30.45,60.62,1.77,1.73,Normal
FLOOD,25.22,96.33,8.12,30.46,Extreme
FLOOD,26.06,75.89,1.04,7.05,Moderate
FLOOD,24.78,79.58,4.52,6.95,Moderate
FLOOD,16.51,73.9,4.9,7.38,Moderate
FLOOD,23.21,81.62,3.86,8.34,Severe
FLOOD,26.89,86.09,3.6,8.11,Severe
FLOOD,21.47,78.75,3.26,7.15,Moderate
FLOOD,27.85,80.31,6.39,10.71,Severe
FLOOD,27.67,86.04,10.93,38.95,Extreme
FLOOD,27.32,46.62,2.44,2.46,Normal
FLOOD,26.2,80.39,8.82,11.03,Severe
FLOOD,29.33,73.66,2.84,3.41,Moderate
FLOOD,26.17,95.85,16.56,19.3,Extreme
FLOOD,20.01,80.74,4.46,9.38,Severe
FLOOD,24.67,93.57,9.49,14.03,Severe
FLOOD,24.61,86.08,11.32,20.53,Extreme
FLOOD,24.39,97.04,19.13,26.03,Extreme
FLOOD,21.59,99.9,7.91,24.56,Extreme
FLOOD,22.16,88.33,20.82,26.01,Extreme
FLOOD,26.17,88.31,9.29,14.81,Severe
FLOOD,29.58,76.24,1.64,3.15,Moderate
FLOOD,28.81,69.87,1.3,1.48,Normal
FLOOD,29.38,72.78,5.88,6.75,Moderate
FLOOD,26.15,56.38,1.72,1.67,Normal
FLOOD,32.93,40.12,2.2,2.63,Normal
FLOOD,22.46,70.42,0.34,7.97,Moderate
FLOOD,22.04,70.34,2.35,4.01,Moderate
FLOOD,25.03,61.63,2.28,2.19,Normal
FLOOD,23.93,89.28,8.67,11.06,Severe
FLOOD,25.32,76.11,0.78,4.2,Moderate
FLOOD,22.76,85.78,25.96,38.88,Extreme
FLOOD,23.87,98.49,8.74,22.83,Extreme
FLOOD,20.02,87.77,6.41,26.03,Extreme
FLOOD,17.8,70.46,3.57,4.14,Moderate
FLOOD,27.56,65.33,1.46,1.75,Normal
FLOOD,29.37,71.78,2.25,3.32,Moderate
FLOOD,28.78,93.24,9.94,24.74,Extreme
FLOOD,20.25,91.42,12.42,36.81,Extreme
FLOOD,15.26,75.77,0.15,6.43,Moderate
FLOOD,25.01,45.42,1.47,1.77,Normal
FLOOD,22.21,93.54,6.66,16.81,Extreme
FLOOD,31.58,67.25,0.56,0.91,Normal
FLOOD,18.83,71.86,3.23,7.05,Moderate
FLOOD,28.97,77.21,3.22,4.41,Moderate
FLOOD,29.34,99.27,21.47,37.6,Extreme
FLOOD,28.64,70.39,0.14,7.15,Moderate
FLOOD,26.38,60.49,2.31,2.24,Normal
FLOOD,27.2,97.36,7.68,48.0,Extreme
FLOOD,28.26,56.98,1.07,1.19,Normal
FLOOD,23.14,79.22,4.43,5.72,Moderate
FLOOD,27.54,86.36,10.02,11.45,Severe
FLOOD,23.25,73.62,7.09,7.63,Moderate
FLOOD,27.08,52.21,2.41,2.6,Normal
FLOOD,26.88,98.61,13.28,30.31,Extreme
FLOOD,29.65,56.71,1.36,1.64,Normal
FLOOD,24.37,88.69,10.95,20.51,Extreme
FLOOD,18.86,73.09,1.53,4.48,Moderate
FLOOD,25.42,43.16,2.65,2.66,Normal
FLOOD,26.69,97.08,16.97,20.7,Extreme
FLOOD,22.29,81.35,10.7,14.88,Severe
FLOOD,24.14,94.97,10.58,41.77,Extreme
FLOOD,25.64,89.66,23.52,32.95,Extreme
FLOOD,26.4,97.82,12.39,16.92,Extreme
FLOOD,15.19,70.95,1.82,4.42,Moderate
FLOOD,30.46,65.2,0.23,0.52,Normal
FLOOD,29.8,79.73,0.84,5.41,Moderate
FLOOD,20.15,72.91,4.2,5.54,Moderate
FLOOD,21.93,89.61,6.97,10.35,Severe
FLOOD,25.69,67.78,1.31,1.72,Normal
FLOOD,26.8,73.55,7.1,7.95,Moderate
FLOOD,29.37,65.43,1.54,1.61,Normal
FLOOD,27.58,57.57,0.49,0.82,Normal
FLOOD,30.03,52.05,1.47,1.51,Normal
FLOOD,25.44,78.86,4.27,6.13,Moderate
FLOOD,18.62,88.61,8.92,12.99,Severe
FLOOD,26.25,86.93,3.31,8.35,Severe
FLOOD,29.22,88.15,37.27,47.18,Extreme
FLOOD,24.68,85.31,13.11,37.92,Extreme
